DSS File:	C:\Users\B4EDHDRJ\Documents\Hydraulics Branch\Flood Freq. Analysis\POR_Stages.dss
DSS Path:	/MISSISSIPPI RIVER/GREENVILLE/STAGE/01JAN1882/1DAY/OBS
Season Start:	1Mar
Season Stop:	27Nov
Start Year:	1882
Stop Year:	2016
Date	Jul 20, 2016	2:44:25 PM


Duration	Median Stage	Mean Stage	Std Dev	Mean Diff	
--------	------------	----------	-------	---------	
2.5%	36.70	37.00	6.89	0.67
5.0%	35.20	35.49	7.26	1.98
7.5%	33.70	33.93	7.73	3.32
10.0%	32.00	32.16	7.95	5.06
12.5%	30.28	30.34	8.08	6.77


Duration:	2.5%
Days:	7

Rank	Value	Window Start	Window Stop
123	20.80	Mar 22, 1925	Apr 17, 1925
124	20.70	Mar 15, 1895	Apr 10, 1895
125	20.20	Feb 28, 1959	Mar 26, 1959
126	20.12	Mar 15, 1992	Apr 10, 1992
127	20.10	Mar 2, 1976	Mar 28, 1976
128	19.60	Mar 10, 1977	Apr 5, 1977
129	18.50	Apr 7, 1931	May 3, 1931
130	18.22	Apr 24, 2006	May 20, 2006
131	18.17	Apr 2, 2005	Apr 28, 2005
132	17.70	Apr 4, 1988	Apr 30, 1988
133	16.60	Oct 14, 1941	Nov 9, 1941
134	14.60	Jun 23, 2000	Jul 19, 2000
135	14.50	Apr 30, 1954	May 26, 1954

Duration:	12.5%
Days:	34

Rank	Value	Window Start	Window Stop
1	50.10	Apr 11, 1922	May 14, 1922
2	46.80	Apr 5, 1929	May 8, 1929
3	45.10	Mar 30, 1927	May 2, 1927
4	45.00	Apr 3, 1912	May 6, 1912
5	44.30	Apr 6, 1920	May 9, 1920
6	43.90	Apr 22, 1973	May 25, 1973
7	43.70	May 12, 1892	Jun 14, 1892
8	43.40	Mar 23, 1897	Apr 25, 1897
9	43.00	May 9, 1893	Jun 11, 1893
10	42.80	Mar 9, 1903	Apr 11, 1903
11	42.34	May 3, 2011	Jun 5, 2011
12	42.10	Mar 7, 1890	Apr 9, 1890
13	42.00	Mar 17, 1891	Apr 19, 1891
14	41.80	May 21, 1908	Jun 23, 1908
15	41.50	Jun 5, 1935	Jul 8, 1935
16	41.20	Mar 30, 1945	May 2, 1945
17	40.87	Mar 9, 1887	Apr 11, 1887
18	40.80	Apr 6, 1913	May 9, 1913
19	40.53	Feb 28, 1882	Apr 2, 1882
20	40.20	Mar 30, 2008	May 2, 2008
21	39.60	Apr 9, 1933	May 12, 1933
22	39.30	Mar 27, 1899	Apr 29, 1899
23	39.20	Mar 29, 1917	May 1, 1917
24	39.02	Mar 5, 1884	Apr 7, 1884
25	38.90	May 10, 1983	Jun 12, 1983
26	38.30	Apr 10, 1904	May 13, 1904
27	38.02	Apr 17, 1886	May 20, 1886
28	37.90	Apr 6, 1888	May 9, 1888
29	37.80	Apr 7, 1979	May 10, 1979
30	37.70	Jun 22, 1928	Jul 25, 1928
31	37.10	Mar 9, 1997	Apr 11, 1997
32	36.60	Mar 8, 1909	Apr 10, 1909
33	36.55	Apr 14, 1883	May 17, 1883
34	36.50	Apr 1, 1898	May 4, 1898
35	36.40	Mar 4, 1939	Apr 6, 1939
36	36.10	Apr 15, 1994	May 18, 1994
37	36.10	Apr 14, 1993	May 17, 1993
38	36.00	Mar 21, 1962	Apr 23, 1962
39	35.80	Apr 5, 1906	May 8, 1906
40	35.40	Mar 15, 1907	Apr 17, 1907
41	35.27	Jul 1, 2015	Aug 3, 2015
42	35.10	May 3, 1984	Jun 5, 1984
43	34.80	May 19, 1996	Jun 21, 1996
44	34.80	Mar 21, 1975	Apr 23, 1975
45	34.80	Apr 6, 1921	May 9, 1921
46	34.80	Jun 10, 1915	Jul 13, 1915
47	33.80	Apr 22, 1944	May 25, 1944
48	33.80	Mar 21, 1923	Apr 23, 1923
49	33.20	May 24, 1995	Jun 26, 1995
50	33.00	Apr 3, 1948	May 6, 1948
51	32.40	Apr 7, 1916	May 10, 1916
52	32.40	Mar 18, 1902	Apr 20, 1902
53	32.40	Apr 15, 1901	May 18, 1901
54	32.10	May 21, 1943	Jun 23, 1943
55	31.93	Apr 22, 1998	May 25, 1998
56	31.92	Apr 27, 2013	May 30, 2013
57	31.90	Mar 23, 1952	Apr 25, 1952
58	31.80	May 16, 1919	Jun 18, 1919
59	31.38	May 5, 2009	Jun 7, 2009
60	31.20	Apr 6, 1991	May 9, 1991
61	31.20	Apr 4, 1938	May 7, 1938
62	30.90	Apr 16, 1911	May 19, 1911
63	30.88	May 8, 2002	Jun 10, 2002
64	30.70	Jun 2, 1924	Jul 5, 1924
65	30.30	Mar 28, 1980	Apr 30, 1980
66	30.30	Apr 3, 1936	May 6, 1936
67	30.30	Mar 8, 1930	Apr 10, 1930
68	30.28	Apr 18, 1885	May 21, 1885
69	30.10	Mar 2, 1985	Apr 4, 1985
70	30.00	Mar 15, 1961	Apr 17, 1961
71	29.40	Mar 25, 1949	Apr 27, 1949
72	29.20	Apr 8, 1951	May 11, 1951
73	29.20	Apr 7, 1914	May 10, 1914
74	29.10	Feb 28, 1950	Apr 2, 1950
75	29.10	Apr 16, 1947	May 19, 1947
76	29.10	Mar 14, 1905	Apr 16, 1905
77	29.03	May 11, 1990	Jun 13, 1990
78	28.20	Mar 18, 1964	Apr 20, 1964
79	28.20	Mar 12, 1894	Apr 14, 1894
80	27.60	Apr 6, 1965	May 9, 1965
81	27.40	May 5, 2010	Jun 7, 2010
82	27.30	Mar 3, 1989	Apr 5, 1989
83	27.30	May 28, 1974	Jun 30, 1974
84	27.30	Mar 2, 1910	Apr 4, 1910
85	26.70	Mar 23, 1978	Apr 25, 1978
86	26.70	Apr 26, 1970	May 29, 1970
87	26.30	Apr 21, 1918	May 24, 1918
88	26.20	Sep 18, 1926	Oct 21, 1926
89	25.80	May 26, 1957	Jun 28, 1957
90	25.70	Apr 23, 1972	May 26, 1972
91	25.55	Jun 16, 1889	Jul 19, 1889
92	25.50	Apr 26, 1999	May 29, 1999
93	25.40	Mar 15, 1955	Apr 17, 1955
94	25.30	May 27, 1981	Jun 29, 1981
95	25.10	Mar 17, 1946	Apr 19, 1946
96	25.00	Mar 15, 1934	Apr 17, 1934
97	24.80	Mar 21, 1942	Apr 23, 1942
98	24.75	Mar 2, 2016	Apr 4, 2016
99	24.60	Mar 19, 1982	Apr 21, 1982
100	24.60	Apr 2, 1932	May 5, 1932
101	24.40	Mar 11, 1900	Apr 13, 1900
102	24.30	Mar 14, 1963	Apr 16, 1963
103	23.90	Apr 13, 1969	May 16, 1969
104	23.90	Mar 1, 1956	Apr 3, 1956
105	23.60	Mar 24, 1968	Apr 26, 1968
106	23.53	Mar 28, 2007	Apr 30, 2007
107	23.20	May 11, 1937	Jun 13, 1937
108	22.90	Apr 29, 1966	Jun 1, 1966
109	22.80	Mar 11, 1953	Apr 13, 1953
110	22.30	Oct 8, 1986	Nov 10, 1986
111	22.00	Mar 31, 1958	May 3, 1958
112	21.90	Mar 2, 1971	Apr 4, 1971
113	21.70	Mar 27, 1896	Apr 29, 1896
114	21.58	May 26, 2001	Jun 28, 2001
115	21.33	May 31, 2004	Jul 3, 2004
116	21.30	Mar 3, 1987	Apr 5, 1987
117	21.20	May 9, 1960	Jun 11, 1960
118	20.80	Mar 22, 1925	Apr 24, 1925
119	20.45	May 9, 2003	Jun 11, 2003
120	20.30	May 4, 1967	Jun 6, 1967
121	20.20	Feb 28, 1959	Apr 2, 1959
122	20.20	Apr 15, 1940	May 18, 1940
123	20.00	May 3, 2014	Jun 5, 2014
124	19.70	Mar 2, 1976	Apr 4, 1976
125	19.60	Mar 10, 1977	Apr 12, 1977
126	19.10	Mar 6, 1992	Apr 8, 1992
127	18.50	Apr 7, 1931	May 10, 1931
128	18.26	Mar 9, 2012	Apr 11, 2012
129	17.95	Apr 17, 2006	May 20, 2006
130	17.66	Apr 2, 2005	May 5, 2005
131	16.60	Oct 14, 1941	Nov 16, 1941
132	16.60	Mar 13, 1895	Apr 15, 1895
133	14.10	Apr 2, 1988	May 5, 1988
134	13.90	Mar 22, 2000	Apr 24, 2000
135	12.80	Apr 25, 1954	May 28, 1954

